,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avarua,-21.2078,-159.775,82.4,69,75,3.44,CK,1619489093
1,Nishihara,26.1842,127.7558,77.0,53,75,12.66,JP,1619489192
2,Porto Santo,33.072,-16.3415,62.6,77,40,10.36,PT,1619489192
3,Saurimo,-9.6608,20.3916,65.88,89,97,3.02,AO,1619489192
4,Srīvardhan,18.0333,73.0167,82.42,77,18,1.1,IN,1619489193
5,Taltal,-25.4,-70.4833,62.31,81,0,4.21,CL,1619489193
6,Castro,-24.7911,-50.0119,56.34,91,2,3.02,BR,1619489193
7,Khatanga,71.9667,102.5,23.34,91,100,18.14,RU,1619489132
8,São Filipe,14.8961,-24.4956,72.18,75,98,8.95,CV,1619489194
9,Vaini,-21.2,-175.2,75.2,94,90,5.75,TO,1619489086
10,East London,-33.0153,27.9116,67.96,77,82,7.05,ZA,1619489194
11,New Norfolk,-42.7826,147.0587,64.99,73,19,1.99,AU,1619489194
12,Vao,-22.6667,167.4833,72.93,68,8,20.18,NC,1619489195
13,Mount Isa,-20.7333,139.5,86.0,32,24,13.8,AU,1619489195
14,Margate,51.3813,1.3862,43.0,81,100,8.75,GB,1619489195
15,Coquimbo,-29.9533,-71.3436,57.2,82,90,2.3,CL,1619488996
16,Vestmannaeyjar,63.4427,-20.2734,44.38,88,41,9.44,IS,1619489196
17,Lumberton,34.6182,-79.0086,64.4,59,1,6.53,US,1619489022
18,Gisborne,-38.6533,178.0042,57.0,90,77,14.0,NZ,1619489196
19,Punta Arenas,-53.15,-70.9167,42.8,100,90,6.91,CL,1619488922
20,Comodoro Rivadavia,-45.8667,-67.5,66.2,45,0,25.32,AR,1619489114
21,Hilo,19.7297,-155.09,80.6,57,20,9.22,US,1619488909
22,Port Alfred,-33.5906,26.891,66.85,86,94,16.6,ZA,1619489197
23,Shelburne,44.0787,-80.2041,44.01,50,100,5.79,CA,1619489197
24,Safi,32.2994,-9.2372,63.05,85,91,15.26,MA,1619489198
25,Tigil',57.8,158.6667,29.98,93,100,8.23,RU,1619489198
26,Thompson,55.7435,-97.8558,46.4,53,40,13.8,CA,1619489198
27,Hūn,29.1268,15.9477,69.03,29,6,8.77,LY,1619489198
28,Kapaa,22.0752,-159.319,77.0,65,20,8.05,US,1619489068
29,Tual,-5.6667,132.75,83.07,57,7,2.06,ID,1619489199
30,Hobart,-42.8794,147.3294,64.99,51,20,5.75,AU,1619489199
31,Cayenne,4.9333,-52.3333,75.99,100,75,4.61,GF,1619489200
32,Kaitangata,-46.2817,169.8464,46.99,77,99,4.0,NZ,1619489200
33,Constitución,-35.3333,-72.4167,57.56,65,0,7.02,CL,1619489200
34,Kavieng,-2.5744,150.7967,83.57,70,51,3.65,PG,1619489200
35,Rikitea,-23.1203,-134.9692,78.13,72,100,6.98,PF,1619488733
36,Torbay,47.6666,-52.7314,42.01,100,90,25.32,CA,1619489185
37,Albany,42.6001,-73.9662,45.0,41,9,3.0,US,1619489201
38,Atuona,-9.8,-139.0333,79.83,75,91,15.23,PF,1619489201
39,Ushuaia,-54.8,-68.3,42.8,81,75,2.3,AR,1619489079
40,Puerto Ayora,-0.7393,-90.3518,75.0,90,37,4.97,EC,1619489202
41,Qaanaaq,77.484,-69.3632,35.6,69,100,7.31,GL,1619489202
42,Biu,10.6129,12.1946,85.06,31,73,1.34,NG,1619489202
43,Anamur,36.0751,32.8369,55.4,88,0,5.75,TR,1619489203
44,Chui,-33.6971,-53.4616,53.47,81,0,7.38,UY,1619489203
45,Tasiilaq,65.6145,-37.6368,41.0,60,40,7.74,GL,1619489083
46,Hermanus,-34.4187,19.2345,61.0,88,98,2.66,ZA,1619489084
47,Tuktoyaktuk,69.4541,-133.0374,12.2,73,1,16.11,CA,1619489203
48,Jamestown,42.097,-79.2353,46.99,42,75,6.91,US,1619488984
49,Ouésso,1.6136,16.0517,70.68,95,99,1.05,CG,1619489204
50,Kyra,49.5776,111.9753,37.98,38,87,24.99,RU,1619489204
51,Busselton,-33.65,115.3333,73.0,78,50,1.01,AU,1619489204
52,Vila,42.0304,-8.1588,48.0,93,56,1.99,PT,1619489205
53,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,57.99,87,0,4.14,AR,1619489205
54,Phan Thiet,10.9333,108.1,84.47,68,100,4.03,VN,1619489205
55,Sompeta,18.9333,84.6,85.66,60,1,11.23,IN,1619489206
56,Barrow,71.2906,-156.7887,21.2,68,1,17.27,US,1619489206
57,Maibong,25.3,93.1667,87.28,38,24,5.08,IN,1619489206
58,Lakes Entrance,-37.8811,147.981,62.01,67,21,1.99,AU,1619489207
59,Esperance,-33.8667,121.9,75.2,27,100,17.27,AU,1619489207
60,Lhokseumawe,5.1801,97.1507,80.01,80,100,4.12,ID,1619489207
61,Berbera,10.4396,45.0143,84.04,70,91,5.61,SO,1619489208
62,Saskylakh,71.9167,114.0833,11.41,89,28,4.83,RU,1619489208
63,Mandeville,18.0417,-77.5071,80.6,74,20,2.3,JM,1619489208
64,Mar del Plata,-38.0023,-57.5575,57.99,93,0,1.57,AR,1619489036
65,Hong Kong,22.2855,114.1577,75.0,87,100,13.62,HK,1619489209
66,Todos Santos,23.45,-110.2167,63.0,79,94,3.0,MX,1619489209
67,Salalah,17.0151,54.0924,80.6,74,20,2.3,OM,1619489209
68,Kruisfontein,-34.0033,24.7314,63.0,87,64,1.01,ZA,1619489210
69,Klaksvík,62.2266,-6.589,37.4,81,75,17.27,FO,1619489210
70,Forsytheganj,52.6333,29.7333,29.08,87,57,6.31,BY,1619489210
71,Marawi,7.9986,124.2928,82.99,79,99,5.99,PH,1619489211
72,Mataura,-46.1927,168.8643,48.99,62,82,10.0,NZ,1619489080
73,São João da Barra,-21.6403,-41.0511,72.99,93,16,9.78,BR,1619489128
74,Upernavik,72.7868,-56.1549,32.86,75,100,4.5,GL,1619489211
75,Bundaberg,-24.85,152.35,78.8,44,40,14.97,AU,1619489212
76,Deputatsky,69.3,139.9,28.31,96,100,2.68,RU,1619489212
77,Derbent,42.0678,48.2899,54.23,89,100,10.29,RU,1619489212
78,Eravur,7.7733,81.6095,80.76,78,15,5.39,LK,1619489213
79,Bluff,-46.6,168.3333,48.99,62,85,10.0,NZ,1619489088
80,São José da Coroa Grande,-8.8978,-35.1478,77.67,81,46,6.15,BR,1619489213
81,Guérande,47.3291,-2.4283,46.4,76,0,6.91,FR,1619489213
82,Tiksi,71.6872,128.8694,16.81,86,100,10.85,RU,1619489214
83,Cape Town,-33.9258,18.4232,63.0,94,75,12.66,ZA,1619489202
84,Warwick,41.7001,-71.4162,48.2,40,1,4.61,US,1619488977
85,Matamoros,25.5333,-103.25,89.6,8,75,13.06,MX,1619489057
86,La Ronge,55.1001,-105.2842,33.8,80,91,11.5,CA,1619489214
87,Nikolskoye,59.7035,30.7861,39.2,81,75,6.71,RU,1619489214
88,Lebu,-37.6167,-73.65,53.38,88,26,9.53,CL,1619489215
89,Elizabeth City,36.2946,-76.2511,55.99,58,1,4.61,US,1619489215
90,Port Elizabeth,-33.918,25.5701,62.6,88,0,18.41,ZA,1619489125
91,Awjilah,29.1081,21.2869,66.6,33,1,4.61,LY,1619489215
92,Haines Junction,60.7522,-137.5108,53.6,24,11,10.36,CA,1619489216
93,Srednekolymsk,67.45,153.6833,28.36,77,67,5.57,RU,1619489216
94,Arraial do Cabo,-22.9661,-42.0278,74.89,78,100,3.18,BR,1619489101
95,Butaritari,3.0707,172.7902,82.6,76,76,10.85,KI,1619489217
96,Praia da Vitória,38.7333,-27.0667,60.8,88,75,7.2,PT,1619489217
97,Tuatapere,-46.1333,167.6833,48.99,62,95,10.0,NZ,1619489217
98,Nome,64.5011,-165.4064,42.8,61,1,11.5,US,1619489217
99,Vestmanna,62.1564,-7.1664,37.4,81,75,17.27,FO,1619489218
100,Kudahuvadhoo,2.6708,72.8944,82.62,73,73,5.39,MV,1619489218
101,Carnarvon,-24.8667,113.6333,78.8,47,0,3.44,AU,1619489218
102,Alofi,-19.0595,-169.9187,86.0,74,73,12.66,NU,1619489219
103,Kirakira,-10.4544,161.9205,85.44,67,25,2.86,SB,1619488734
104,Grafton,42.207,-71.6856,46.4,34,1,8.05,US,1619489219
105,Arlit,18.7369,7.3853,88.25,10,69,7.38,NE,1619489219
106,Cabo San Lucas,22.8909,-109.9124,73.0,72,90,13.8,MX,1619489032
107,Iquitos,-3.7481,-73.2472,78.8,94,75,3.44,PE,1619489162
108,Poum,-20.2333,164.0167,76.89,68,35,21.65,NC,1619489220
109,Narsaq,60.9167,-46.05,35.6,93,75,5.75,GL,1619489111
110,Bredasdorp,-34.5322,20.0403,55.4,88,98,3.47,ZA,1619488973
111,Saldanha,-33.0117,17.9442,62.6,88,10,5.75,ZA,1619489189
112,Tabuk,17.4189,121.4443,80.42,66,99,1.68,PH,1619489220
113,Talavera de la Reina,39.9635,-4.8308,55.0,91,73,1.99,ES,1619489221
114,Mayya,61.7333,130.2811,35.6,75,75,8.95,RU,1619489221
115,Mercedes,-34.6515,-59.4307,55.99,73,11,4.85,AR,1619489222
116,Flinders,-34.5833,150.8552,73.0,62,2,3.0,AU,1619489222
